               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.017601,            0.016302,          0.00073741,             0.98957,             0.98039,             0.98229,             0.83375,            0.014147,            0.013157,          0.00089263,            0.002212,            0.002212,            0.002212
                 120,             0.01694,            0.016915,          0.00074937,              0.9894,             0.98039,             0.97657,             0.81758,            0.015364,            0.013235,          0.00092958,            0.002146,            0.002146,            0.002146
                 121,             0.01829,            0.017668,          0.00078762,             0.98935,             0.98039,              0.9771,             0.82504,            0.015697,            0.013337,          0.00092504,             0.00208,             0.00208,             0.00208
                 122,            0.017012,            0.017254,          0.00076036,             0.98934,             0.98039,             0.97501,             0.81827,            0.015494,             0.01331,          0.00092664,            0.002014,            0.002014,            0.002014
                 123,            0.016426,            0.018022,          0.00076985,             0.98972,             0.98039,             0.97421,             0.84311,            0.014015,            0.012941,          0.00090684,            0.001948,            0.001948,            0.001948
                 124,            0.016332,            0.018684,          0.00073602,              0.9899,             0.98039,             0.97389,              0.8361,            0.013872,            0.012863,          0.00086744,            0.001882,            0.001882,            0.001882
                 125,            0.015603,            0.017003,          0.00071739,             0.98987,             0.98039,             0.98059,             0.83346,            0.014175,            0.012896,          0.00080089,            0.001816,            0.001816,            0.001816
                 126,            0.015557,            0.018684,          0.00076798,             0.98978,             0.98039,               0.981,             0.83634,            0.013709,            0.012867,          0.00076461,             0.00175,             0.00175,             0.00175
                 127,            0.015581,            0.020085,          0.00073698,             0.98974,             0.98039,             0.98027,             0.84635,             0.01379,            0.012926,          0.00075051,            0.001684,            0.001684,            0.001684
                 128,            0.016421,            0.017929,          0.00083074,             0.98967,             0.98039,             0.98092,             0.84852,             0.01378,            0.012919,          0.00074771,            0.001618,            0.001618,            0.001618
                 129,            0.015506,            0.016357,          0.00066251,             0.98956,             0.98039,             0.97385,             0.84739,            0.013747,            0.012711,          0.00075306,            0.001552,            0.001552,            0.001552
                 130,            0.015684,            0.016404,          0.00063551,              0.9895,             0.98037,              0.9747,             0.85933,            0.013449,             0.01255,          0.00075999,            0.001486,            0.001486,            0.001486
                 131,            0.015916,            0.018703,          0.00072177,             0.98946,              0.9804,             0.98592,             0.85906,            0.013421,            0.012436,          0.00076039,             0.00142,             0.00142,             0.00142
                 132,            0.015648,             0.02044,          0.00079701,             0.98953,              0.9804,             0.98214,             0.85288,             0.01309,            0.012315,          0.00075555,            0.001354,            0.001354,            0.001354
                 133,            0.015628,            0.018193,          0.00069968,             0.98953,              0.9804,             0.98422,             0.86347,            0.013331,            0.012338,          0.00071191,            0.001288,            0.001288,            0.001288
                 134,            0.015059,             0.01758,           0.0006045,             0.98943,              0.9804,             0.98429,             0.84776,            0.013384,            0.012308,           0.0007068,            0.001222,            0.001222,            0.001222
                 135,            0.015265,            0.018532,          0.00061811,             0.98933,              0.9804,             0.98463,              0.8508,             0.01309,            0.012257,          0.00067567,            0.001156,            0.001156,            0.001156
                 136,            0.015094,            0.016955,          0.00071719,             0.98929,              0.9804,             0.98665,             0.85681,            0.013147,            0.012223,          0.00066435,             0.00109,             0.00109,             0.00109
                 137,            0.015103,            0.018211,          0.00061261,             0.98928,              0.9804,              0.9865,              0.8558,            0.013129,            0.012192,          0.00063308,            0.001024,            0.001024,            0.001024
                 138,            0.015471,             0.01695,          0.00062151,             0.98926,             0.98039,             0.98455,             0.85094,            0.013745,            0.012355,          0.00061205,            0.000958,            0.000958,            0.000958
                 139,            0.015041,            0.017594,          0.00056714,             0.98923,             0.98039,             0.98557,             0.85706,            0.013163,            0.012197,           0.0005951,            0.000892,            0.000892,            0.000892
                 140,            0.014871,            0.018726,          0.00054602,             0.98926,             0.98039,             0.98577,              0.8564,            0.013076,             0.01219,          0.00059774,            0.000826,            0.000826,            0.000826
                 141,            0.014682,             0.01946,          0.00060469,             0.98924,             0.98039,             0.98577,             0.85215,            0.013018,            0.012221,          0.00060039,             0.00076,             0.00076,             0.00076
                 142,            0.015125,            0.017679,          0.00065697,             0.98935,             0.98039,             0.98577,              0.8541,            0.013151,            0.012234,          0.00060615,            0.000694,            0.000694,            0.000694
                 143,            0.015082,            0.017391,          0.00054869,             0.98931,             0.98039,             0.98577,             0.85908,            0.012988,            0.012172,          0.00061884,            0.000628,            0.000628,            0.000628
                 144,            0.014795,            0.018898,          0.00062853,             0.98933,             0.98039,             0.98577,             0.85833,               0.013,            0.012166,          0.00062375,            0.000562,            0.000562,            0.000562
                 145,            0.014338,            0.016854,          0.00053602,             0.98926,             0.98039,             0.98089,             0.85589,            0.012951,            0.012163,           0.0006249,            0.000496,            0.000496,            0.000496
                 146,             0.01463,               0.017,          0.00052356,             0.98917,             0.98039,             0.98577,             0.85755,            0.012919,            0.012192,          0.00061862,             0.00043,             0.00043,             0.00043
                 147,             0.01451,            0.017782,          0.00057631,             0.98916,             0.98039,             0.98089,             0.85968,            0.012862,            0.012208,          0.00061639,            0.000364,            0.000364,            0.000364
                 148,            0.014212,            0.015851,          0.00061989,             0.98909,             0.98039,              0.9809,              0.8601,            0.012844,            0.012193,          0.00062164,            0.000298,            0.000298,            0.000298
                 149,            0.014302,            0.019113,          0.00070376,             0.98897,             0.98039,             0.98205,             0.86052,            0.012799,            0.012173,          0.00062325,            0.000232,            0.000232,            0.000232
